V1,MERCHANDISE,SPOSTMIN,DAYOFWEEK,DAYOFYEAR,WEEKOFYEAR,MONTHOFYEAR,HOLIDAYPX,HOLIDAYM,WDWEVENT,WDWRACE,WDWMAXTEMP,WDWMINTEMP,WDWMEANTEMP,MKEVENT,EPEVENT,HSEVENT,AKEVENT,INSESSION,INSESSION_ENROLLMENT,INSESSION_WDW,INSESSION_DLR,INSESSION_SQRT_WDW,INSESSION_SQRT_DLR,INSESSION_CALIFORNIA,INSESSION_DC,INSESSION_CENTRAL_FL,INSESSION_DRIVE1_FL,INSESSION_DRIVE2_FL,INSESSION_DRIVE_CA,INSESSION_FLORIDA,INSESSION_MARDI_GRAS,INSESSION_MIDWEST,INSESSION_NY_NJ,INSESSION_NY_NJ_PA,INSESSION_NEW_ENGLAND,INSESSION_NEW_JERSEY,INSESSION_NOTHWEST,INSESSION_PLANES,INSESSION_SOCAL,INSESSION_SOUTHWEST,MKEMHMORN,MKEMHMYEST,MKEMHMTOM,MKEMHEVE,MKHOURSEMH,MKHOURSEMHYEST,MKHOURSEMHTOM,MKEMHEYEST,MKEMHETOM,EPEMHMORN,EPEMHMYEST,EPEMHMTOM,EPEMHEVE,EPEMHEYEST,EPEMHETOM,EPHOURSEMH,EPHOURSEMHYEST,EPHOURSEMHTOM,HSEMHMORN,HSEMHMYEST,HSEMHMTOM,HSEMHEVE,HSEMHEYEST,HSEMHETOM,HSHOURSEMH,HSHOURSEMHYEST,HSHOURSEMHTOM,AKEMHMORN,AKEMHMYEST,AKEMHMTOM,AKEMHEVE,AKEMHEYEST,AKEMHETOM,AKHOURSEMH,AKHOURSEMHYEST,AKHOURSEMHTOM,MKHOURS,MKHOURSYEST,MKHOURSTOM,EPHOURS,EPHOURSYEST,EPHOURSTOM,HSHOURS,HSHOURSYEST,HSHOURSTOM,AKHOURS,AKHOURSYEST,AKHOURSTOM,MKDAYSBEFORENONEVENT,MKDAYSSINCENONEVENT,MKEVENTSTREAK,MKEVENTSTREAK_F,WDWMINTEMP_MEAN,WEATHER_WDWHIGH,WEATHER_WDWLOW,WEATHER_WDWPRECIP,CAPACITYLOST_MK,CAPACITYLOST_EP,CAPACITYLOST_HS,CAPACITYLOST_AK,CAPACITYLOSTWGT_MK,CAPACITYLOSTWGT_EP,CAPACITYLOSTWGT_HS,CAPACITYLOSTWGT_AK,EP09CAPACITY,HS20CAPACITY,MKPRDDAY,MKPRDNGT,MKFIREWK,EPFIREWK,HSPRDDAY,HSFIREWK,HSSHWNGT,HSFIREWKS,AKPRDDAY,AKSHWNGT,HOLIDAY 0,HOLIDAY 1,SEASON 1,SEASON 2,SEASON 3,SEASON 4,SEASON 5,SEASON 6,SEASON 7,SEASON 8,SEASON 9,SEASON 10,SEASON 11,SEASON 12,SEASON 13,SEASON 14,SEASON 15,SEASON 16,SEASON 17,WDW_TICKET_SEASON 1,WDW_TICKET_SEASON 2,WDW_TICKET_SEASON 3,WDWSEASON 1,WDWSEASON 2,WDWSEASON 3,WDWSEASON 4,WDWSEASON 5,WDWSEASON 6,WDWSEASON 7,WDWSEASON 8,WDWSEASON 9,WDWSEASON 10,WDWSEASON 11,WDWSEASON 12,WDWSEASON 13,WDWSEASON 14,WDWSEASON 15,WDWSEASON 16,WDWSEASON 17
2217,1173,55,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2218,1173,65,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2219,1173,75,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2220,1173,-999,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2221,1173,40,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2222,1173,55,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2223,1173,75,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2224,1173,75,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2225,1173,5,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2226,1173,25,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2227,1173,5,2,155,23,6,8,0,0,0,81.67,73.79,77.73,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,13,14,0,0,0,0,0,0,0,1,12,12,14,0,1,0,0,0,0,12.5,13.5,12.5,1,0,0,1,1,1,18,17,17,14,13,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.406428571,90.4,71.8,0.23,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2228,1439,5,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2229,1439,30,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2230,1439,50,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2231,1439,50,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2232,1439,50,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2233,1439,70,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2234,1439,55,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2235,1439,25,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2236,1439,45,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2237,1439,40,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2238,1439,25,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2239,1439,25,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2240,1439,5,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2241,1439,5,3,156,23,6,9,0,0,0,83.4,73.83,78.62,0,0,0,0,44,52,22,72,41,59,68,83,0,26,33,64,33,12,56,100,100,100,100,78,7,0,45,0,0,0,0,14,14,16,0,1,0,0,0,1,0,0,14,12,12,0,0,0,0,0,0,12.5,12.5,12.5,0,1,0,1,1,1,17,18,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.305714286,90.5,72,0.28,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2242,1364,5,4,157,23,6,10,0,0,0,78.14,72.56,75.35,0,0,0,0,43,51,22,72,41,58,68,83,0,26,33,64,33,4,56,100,100,100,100,78,0,0,45,0,0,0,1,16,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,1,1,1,17,17,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.012857143,90.5,72.1,0.27,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2243,1364,20,4,157,23,6,10,0,0,0,78.14,72.56,75.35,0,0,0,0,43,51,22,72,41,58,68,83,0,26,33,64,33,4,56,100,100,100,100,78,0,0,45,0,0,0,1,16,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,1,1,1,17,17,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.012857143,90.5,72.1,0.27,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2244,1364,75,4,157,23,6,10,0,0,0,78.14,72.56,75.35,0,0,0,0,43,51,22,72,41,58,68,83,0,26,33,64,33,4,56,100,100,100,100,78,0,0,45,0,0,0,1,16,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,1,1,1,17,17,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.012857143,90.5,72.1,0.27,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2245,1364,70,4,157,23,6,10,0,0,0,78.14,72.56,75.35,0,0,0,0,43,51,22,72,41,58,68,83,0,26,33,64,33,4,56,100,100,100,100,78,0,0,45,0,0,0,1,16,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,1,1,1,17,17,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.012857143,90.5,72.1,0.27,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2246,1364,45,4,157,23,6,10,0,0,0,78.14,72.56,75.35,0,0,0,0,43,51,22,72,41,58,68,83,0,26,33,64,33,4,56,100,100,100,100,78,0,0,45,0,0,0,1,16,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,1,1,1,17,17,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.012857143,90.5,72.1,0.27,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2247,1364,50,4,157,23,6,10,0,0,0,78.14,72.56,75.35,0,0,0,0,43,51,22,72,41,58,68,83,0,26,33,64,33,4,56,100,100,100,100,78,0,0,45,0,0,0,1,16,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,1,1,1,17,17,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.012857143,90.5,72.1,0.27,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2248,1364,50,4,157,23,6,10,0,0,0,78.14,72.56,75.35,0,0,0,0,43,51,22,72,41,58,68,83,0,26,33,64,33,4,56,100,100,100,100,78,0,0,45,0,0,0,1,16,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,1,1,1,17,17,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.012857143,90.5,72.1,0.27,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2249,1364,45,4,157,23,6,10,0,0,0,78.14,72.56,75.35,0,0,0,0,43,51,22,72,41,58,68,83,0,26,33,64,33,4,56,100,100,100,100,78,0,0,45,0,0,0,1,16,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,1,1,1,17,17,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.012857143,90.5,72.1,0.27,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2250,1364,45,4,157,23,6,10,0,0,0,78.14,72.56,75.35,0,0,0,0,43,51,22,72,41,58,68,83,0,26,33,64,33,4,56,100,100,100,100,78,0,0,45,0,0,0,1,16,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,1,1,1,17,17,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.012857143,90.5,72.1,0.27,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2251,1364,50,4,157,23,6,10,0,0,0,78.14,72.56,75.35,0,0,0,0,43,51,22,72,41,58,68,83,0,26,33,64,33,4,56,100,100,100,100,78,0,0,45,0,0,0,1,16,14,14,0,0,0,0,1,0,1,0,12,14,13,0,0,0,0,0,0,12.5,12.5,12.5,0,0,0,1,1,1,17,17,17,14,14,14,12,12,12,12.5,12.5,12.5,15,15,15,1,1,0,0,72.012857143,90.5,72.1,0.27,11999,11599,0,0,1001901,999501,0,0,2400,1500,1,0,1,1,0,1,1,1,0,2,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
